Year_County,Democratic,Republican,Libertarian,Reform,Natural_Law,Independent_1,Independent_2,Independent_3,Green,American_Independent,Peace_and_Freedom,Progressive,Independent_Progressive,Socialist,Prohibition,National_Democrat,Socialist_Labor,Communist,National,Populist,Independence_League,Liberty,Write_In_1,Write_In_2,Write_In_3,Write_In_4,Write_In_5,Write_In_6,Write_In_7,Write_In_8
2020_Alameda,617659,136309,6295,NULL,NULL,NULL,NULL,NULL,4664,2399,2538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3683,127,29,25,8,17,NULL,NULL
2020_Alpine,476,244,15,NULL,NULL,NULL,NULL,NULL,4,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL
2020_Amador,8153,13585,349,NULL,NULL,NULL,NULL,NULL,110,64,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,1,1,0,0,0,NULL,NULL
2020_Butte,50815,48819,1789,NULL,NULL,NULL,NULL,NULL,510,326,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,4,2,3,0,NULL,NULL
2020_Calaveras,10046,16518,359,NULL,NULL,NULL,NULL,NULL,125,72,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,0,0,0,0,0,NULL,NULL
2020_Colusa,3239,4559,81,NULL,NULL,NULL,NULL,NULL,25,30,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL
2020_Contra_Costa,416386,152877,6116,NULL,NULL,NULL,NULL,NULL,2618,1949,1284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,57,10,14,3,2,NULL,NULL
2020_Del_Norte,4677,6461,150,NULL,NULL,NULL,NULL,NULL,78,53,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,NULL,NULL
2020_El_Dorado,51621,61838,1871,NULL,NULL,NULL,NULL,NULL,460,240,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,5,1,0,0,NULL,NULL
2020_Fresno,193025,164464,4031,NULL,NULL,NULL,NULL,NULL,1474,1147,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,64,10,32,2,0,NULL,NULL
2020_Glenn,3995,7063,128,NULL,NULL,NULL,NULL,NULL,34,39,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5,0,0,0,0,NULL,NULL
2020_Humboldt,44768,21770,1132,NULL,NULL,NULL,NULL,NULL,625,251,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,581,7,2,6,0,0,NULL,NULL
2020_Imperial,34678,20847,390,NULL,NULL,NULL,NULL,NULL,234,291,278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,25,0,0,0,0,NULL,NULL
2020_Inyo,4634,4620,128,NULL,NULL,NULL,NULL,NULL,45,32,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,2,0,0,NULL,NULL
2020_Kern,133366,164484,3942,NULL,NULL,NULL,NULL,NULL,1074,1264,1096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,35,9,20,2,0,NULL,NULL
2020_Kings,18699,24072,604,NULL,NULL,NULL,NULL,NULL,125,180,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,1,0,NULL,NULL
2020_Lake,14941,13123,374,NULL,NULL,NULL,NULL,NULL,207,89,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174,2,2,5,2,1,NULL,NULL
2020_Lassen,2799,8970,141,NULL,NULL,NULL,NULL,NULL,31,26,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,0,2,0,0,0,NULL,NULL
2020_Los_Angeles,3028885,1145530,35452,NULL,NULL,NULL,NULL,NULL,21660,15999,15917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,485,208,127,72,30,NULL,NULL
2020_Madera,23168,29378,621,NULL,NULL,NULL,NULL,NULL,217,173,165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8,2,0,0,0,NULL,NULL
2020_Marin,128288,24612,1536,NULL,NULL,NULL,NULL,NULL,724,380,261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,11,9,6,3,0,NULL,NULL
2020_Mariposa,4088,5950,155,NULL,NULL,NULL,NULL,NULL,39,26,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL
2020_Mendocino,28782,13267,591,NULL,NULL,NULL,NULL,NULL,394,123,179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3,1,0,0,NULL,NULL
2020_Merced,48991,39397,941,NULL,NULL,NULL,NULL,NULL,388,391,433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,439,10,3,0,0,0,NULL,NULL
2020_Modoc,1150,3109,39,NULL,NULL,NULL,NULL,NULL,15,13,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,2,1,2,0,0,NULL,NULL
2020_Mono,4013,2513,126,NULL,NULL,NULL,NULL,NULL,42,25,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,NULL,NULL
2020_Monterey,113953,46299,1820,NULL,NULL,NULL,NULL,NULL,749,566,496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,27,6,5,0,2,NULL,NULL
2020_Napa,49817,20676,914,NULL,NULL,NULL,NULL,NULL,310,241,164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22,4,0,2,0,NULL,NULL
2020_Nevada,36359,26779,919,NULL,NULL,NULL,NULL,NULL,345,189,147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,452,6,1,2,3,0,NULL,NULL
2020_Orange,814009,676498,17325,NULL,NULL,NULL,NULL,NULL,5819,4642,3432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,297,30,44,12,5,NULL,NULL
2020_Placer,106869,122488,3948,NULL,NULL,NULL,NULL,NULL,779,593,340,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,41,10,15,1,0,NULL,NULL
2020_Plumas,4561,6445,153,NULL,NULL,NULL,NULL,NULL,39,31,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,0,0,1,0,NULL,NULL
2020_Riverside,528340,449144,9970,NULL,NULL,NULL,NULL,NULL,3372,3392,2789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,122,10,12,4,1,NULL,NULL
2020_Sacramento,440808,259405,9770,NULL,NULL,NULL,NULL,NULL,3254,2630,2423,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,95,19,22,13,1,NULL,NULL
2020_San_Benito,17628,10590,345,NULL,NULL,NULL,NULL,NULL,91,84,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,1,2,0,0,NULL,NULL
2020_San_Bernardino,455859,366257,8791,NULL,NULL,NULL,NULL,NULL,3619,3355,3050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,141,33,20,2,3,NULL,NULL
2020_San_Diego,964650,600094,21386,NULL,NULL,NULL,NULL,NULL,7421,5302,2869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,275,49,51,16,30,NULL,NULL
2020_San_Francisco,378156,56417,3299,NULL,NULL,NULL,NULL,NULL,2781,1262,1543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,48,18,17,7,5,NULL,NULL
2020_San_Joaquin,161137,121098,2929,NULL,NULL,NULL,NULL,NULL,1064,1251,964,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1289,34,7,8,0,0,NULL,NULL
2020_San_Luis_Obispo,88310,67436,2408,NULL,NULL,NULL,NULL,NULL,794,455,278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22,3,7,0,1,NULL,NULL
2020_San_Mateo,291496,75584,3554,NULL,NULL,NULL,NULL,NULL,1595,1145,797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,59,12,4,3,2,NULL,NULL
2020_Santa_Barbara,129963,65736,2416,NULL,NULL,NULL,NULL,NULL,939,714,520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1093,35,7,7,0,2,NULL,NULL
2020_Santa_Clara,617967,214612,9131,NULL,NULL,NULL,NULL,NULL,4040,2623,2149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,151,29,24,7,8,NULL,NULL
2020_Santa_Cruz,114246,26937,1704,NULL,NULL,NULL,NULL,NULL,1062,434,413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,812,17,9,8,4,3,NULL,NULL
2020_Shasta,30000,60789,1277,NULL,NULL,NULL,NULL,NULL,368,281,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,14,6,6,4,0,NULL,NULL
2020_Sierra,730,1142,27,NULL,NULL,NULL,NULL,NULL,13,12,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,0,0,1,0,0,NULL,NULL
2020_Siskiyou,9593,13290,318,NULL,NULL,NULL,NULL,NULL,116,79,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16,1,3,2,0,NULL,NULL
2020_Solano,131639,69306,2475,NULL,NULL,NULL,NULL,NULL,958,825,628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,954,37,4,3,1,1,NULL,NULL
2020_Sonoma,199938,61825,3418,NULL,NULL,NULL,NULL,NULL,1499,832,740,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,32,15,16,1,1,NULL,NULL
2020_Stanislaus,105841,104145,2494,NULL,NULL,NULL,NULL,NULL,742,926,728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1033,62,9,7,0,0,NULL,NULL
2020_Sutter,17367,24375,521,NULL,NULL,NULL,NULL,NULL,136,126,115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,1,0,0,0,NULL,NULL
2020_Tehama,8911,19141,403,NULL,NULL,NULL,NULL,NULL,90,111,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,1,2,0,0,NULL,NULL
2020_Trinity,2851,3188,117,NULL,NULL,NULL,NULL,NULL,50,27,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,0,1,0,0,0,NULL,NULL
2020_Tulare,66105,77579,1498,NULL,NULL,NULL,NULL,NULL,483,632,535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,46,2,4,1,0,NULL,NULL
2020_Tuolumne,11978,17689,439,NULL,NULL,NULL,NULL,NULL,145,91,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,1,2,0,0,NULL,NULL
2020_Ventura,251388,162207,5069,NULL,NULL,NULL,NULL,NULL,1766,1278,990,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,84,17,16,5,5,NULL,NULL
2020_Yolo,67598,27292,1206,NULL,NULL,NULL,NULL,NULL,547,298,323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,24,2,3,0,1,NULL,NULL
2020_Yuba,11230,17676,510,NULL,NULL,NULL,NULL,NULL,124,153,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,1,4,0,0,NULL,NULL
