Year_County,Democratic,Republican,Libertarian,Reform,Natural_Law,Independent_1,Independent_2,Independent_3,Green,American_Independent,Peace_and_Freedom,Progressive,Independent_Progressive,Socialist,Prohibition,National_Democrat,Socialist_Labor,Communist,National,Populist,Independence_League,Liberty,Write_In_1,Write_In_2,Write_In_3,Write_In_4,Write_In_5,Write_In_6,Write_In_7,Write_In_8
1892_Alameda,7114,8792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450,NULL,NULL,NULL,NULL,2114,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1896_Alameda,8394,13429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,132,111,NULL,NULL,56,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1900_Alameda,6677,14324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,341,817,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1904_Alameda,4399,19065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3293,353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1908_Alameda,7110,21380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3462,608,NULL,NULL,NULL,NULL,NULL,723,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1912_Alameda,24418,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31542,NULL,9332,1160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1916_Alameda,43748,51417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5422,1544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1920_Alameda,21468,73177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9266,1978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1924_Alameda,8020,81454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1582,0,0,NULL,NULL,NULL,NULL,NULL
1928_Alameda,60875,118539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,0,0,NULL,NULL,NULL,NULL,NULL
1932_Alameda,106388,89303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6598,1146,NULL,NULL,NULL,NULL,NULL,NULL,790,116,111,0,NULL,NULL,NULL,NULL,NULL
1936_Alameda,149323,82352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,725,1178,NULL,NULL,1108,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1940_Alameda,148224,116961,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1618,NULL,NULL,1285,NULL,NULL,408,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1944_Alameda,169631,122982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,721,375,250,28,0,NULL,NULL,NULL
1948_Alameda,154549,150588,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16853,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,494,62,45,20,0,0,NULL,NULL
1952_Alameda,178239,201976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2120,NULL,560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,314,32,44,0,NULL,NULL,NULL
1956_Alameda,174033,192911,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435,79,6,32,25,0,1,NULL
1960_Alameda,217172,183354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,165,0,NULL,NULL,NULL,NULL,NULL,NULL
1964_Alameda,283833,142998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,65,173,17,3,0,NULL,NULL
1968_Alameda,219545,153285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28426,2797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2475,727,40,42,7,5,0,NULL
1972_Alameda,259254,201862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6930,2900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,119,70,19,2,2,0,NULL
